Make,Model,Build Year,Engine Size,Transmission,Mileage [km],Fuel,Fuel efficiency,Price [EUR]
Audi,A1,2017,1.4,Manual,25318,Petrol,55.4,12500
Audi,A6,2016,2,Automatic,58251,Diesel,64.2,16500
Audi,A1,2016,1.4,Manual,48183,Petrol,55.4,11000
Audi,A4,2017,2,Automatic,41757,Diesel,67.3,16800
Audi,A3,2019,1,Manual,3215,Petrol,49.6,17300
Audi,A1,2016,1.4,Automatic,51906,Petrol,58.9,13900
Audi,A6,2016,2,Automatic,123552,Diesel,61.4,13250
Audi,A4,2016,2,Manual,120973,Diesel,70.6,11750
Audi,A3,2015,1.4,Manual,74194,Petrol,60.1,10200
Audi,A1,2016,1.4,Manual,36124,Petrol,55.4,12000
Audi,A3,2017,1.4,Manual,46589,Petrol,58.9,16100
Audi,A6,2016,2,Automatic,83987,Diesel,57.6,16500
Audi,Q3,2016,2,Manual,72268,Diesel,52.3,17000
Audi,A3,2017,1.4,Manual,34907,Petrol,58.9,16400
Audi,A6,2015,2,Manual,76183,Diesel,61.4,15400
Audi,A3,2017,1.4,Automatic,42085,Petrol,58.9,14500
Audi,Q3,2016,2,Automatic,45689,Diesel,53.3,15700
Audi,A3,2014,1.4,Automatic,49100,Petrol,56.5,13900
Audi,Q5,2016,2,Automatic,60582,Diesel,47.1,19000
Audi,Q3,2014,1.4,Manual,54883,Petrol,47.9,17000
Audi,A5,2017,2,Automatic,59694,Diesel,67.3,17300
Audi,Q5,2016,2,Automatic,38156,Diesel,47.1,20200
Audi,A5,2017,3,Automatic,34833,Diesel,58.9,22500
Audi,A6,2015,3,Automatic,100962,Diesel,53.3,17500
Audi,Q5,2016,2,Automatic,38277,Diesel,47.1,20000
Audi,A4,2017,2,Automatic,28026,Diesel,62.8,18500
Audi,A5,2017,2,Automatic,53580,Diesel,61.4,19500
Audi,A1,2018,1.4,Manual,17366,Petrol,56.5,15800
Audi,A4,2018,2,Automatic,40447,Diesel,70.6,17200
Audi,A6,2015,2,Manual,98432,Diesel,62.8,14000
Audi,A1,2015,1.6,Automatic,88099,Diesel,76.3,9500
Audi,Q3,2017,1.4,Manual,34383,Petrol,51.4,16500
Audi,Q3,2014,2,Automatic,63057,Diesel,47.9,15000
Audi,Q3,2017,1.4,Automatic,76399,Petrol,47.9,16000
Audi,Q3,2016,2,Automatic,65166,Diesel,51.4,16900
Audi,Q3,2014,2,Automatic,69501,Diesel,47.9,12300
Audi,A1,2017,1,Manual,50598,Petrol,67.3,10800
Audi,A6,2016,2,Automatic,54754,Diesel,58.9,19400
Audi,A4,2017,2,Manual,46762,Diesel,70.6,16000
Audi,A3,2017,2,Manual,47538,Diesel,65.7,17100
Audi,A3,2015,2,Manual,121671,Diesel,68.9,11300
Audi,Q3,2016,2,Automatic,63721,Diesel,50.4,17200
Audi,Q3,2017,2,Automatic,69039,Diesel,51.4,20300
Audi,A5,2014,2,Automatic,134950,Diesel,58.9,13200
Audi,Q3,2016,1.4,Automatic,94529,Petrol,47.9,15200
Audi,A3,2019,1,Manual,3265,Petrol,49.6,15700
Audi,A6,2018,1.8,Automatic,36939,Petrol,50.4,16600
Audi,A4,2017,2,Automatic,51644,Diesel,72.4,14400
Audi,A5,2017,2,Automatic,21009,Petrol,53.3,20200
Audi,S4,2017,3,Automatic,32627,Petrol,38.7,23700
Audi,A4,2016,2,Manual,84571,Diesel,74.3,12750
Audi,A6,2015,2,Automatic,50851,Diesel,67.3,13000
Audi,Q3,2016,1.4,Manual,51506,Petrol,49.6,15900
Audi,Q3,2016,2,Manual,62967,Diesel,60.1,15000
Audi,Q5,2015,2,Automatic,143978,Diesel,47.1,14700
Audi,A3,2015,1.8,Automatic,90572,Petrol,42.8,15000
Audi,A6,2016,2,Automatic,76857,Diesel,61.4,16000
Audi,A1,2014,1.4,Manual,55213,Petrol,53.3,11000
Audi,A3,2016,1.6,Manual,106788,Diesel,83.1,10200
Audi,A6,2016,2,Manual,54883,Diesel,61.4,18500
Audi,A1,2013,1.6,Manual,122717,Diesel,74.3,7000
Audi,A3,2016,1.6,Manual,60885,Diesel,70.6,10600
Audi,A3,2017,1.6,Manual,42235,Diesel,67.3,16000
Audi,Q3,2017,2,Manual,72241,Diesel,57.7,15000
Audi,Q3,2017,1.4,Manual,108062,Petrol,51.4,14000
Audi,A3,2018,1.5,Manual,28949,Petrol,54.3,18950
Audi,A4,2016,2,Manual,156781,Diesel,70.6,10200
Audi,A1,2017,1,Manual,31002,Petrol,67.3,11700
Audi,A3,2013,1.8,Automatic,82769,Petrol,50.4,11500
Audi,A1,2016,1,Manual,29253,Petrol,67.3,10800
Audi,A3,2016,2,Manual,31366,Diesel,67.3,12500
Audi,A6,2016,2,Manual,52788,Diesel,61.4,16600
Audi,A3,2017,2,Manual,41778,Diesel,65.7,13100
Audi,A3,2016,2,Manual,141938,Diesel,68.9,8300
Audi,A3,2019,1,Manual,9178,Petrol,49.6,16000
Audi,A4,2017,1.4,Manual,17633,Petrol,51.4,16900
Audi,Q5,2016,2,Automatic,48593,Diesel,47.1,19600
Audi,Q3,2017,2,Automatic,31084,Petrol,40.4,21800
Audi,A6,2017,2,Manual,36334,Diesel,61.4,16200
Audi,A5,2017,2,Manual,32264,Petrol,49.6,18700
Audi,Q3,2016,2,Manual,26816,Diesel,60.1,16100
Audi,A3,2016,1.6,Manual,41232,Diesel,74.3,11300
Audi,A3,2016,1.4,Manual,16830,Petrol,60.1,14100
Audi,A6,2016,2,Automatic,69681,Diesel,57.6,16600
Audi,A1,2017,1.4,Manual,47187,Petrol,55.4,11300
Audi,Q3,2017,1.4,Manual,59073,Petrol,51.4,15600
Audi,A1,2014,1.4,Manual,45573,Petrol,53.3,10000
Audi,A1,2016,1.4,Manual,19469,Petrol,56.5,14500
Audi,Q3,2017,2,Manual,28964,Diesel,62.8,16100
Audi,A1,2016,1.4,Manual,46275,Petrol,55.4,10600
Audi,A3,2019,1.5,Semi-Auto,6436,Petrol,44.1,25499
Audi,Q2,2019,2,Semi-Auto,12706,Diesel,47.9,25499
Audi,A6,2016,3,Automatic,39813,Diesel,56.5,15500
Audi,Q3,2015,2,Automatic,48391,Diesel,51.4,16200
Audi,A1,2017,1.4,Manual,20236,Petrol,58.9,14000
Audi,A6,2016,2,Automatic,39293,Diesel,61.4,17300
Audi,A1,2016,1.6,Manual,25047,Diesel,76.3,10600
Audi,A4,2018,1.4,Manual,24468,Petrol,51.4,17500
Audi,A4,2017,1.4,Manual,23916,Petrol,52.3,15000
Audi,A4,2019,2,Semi-Auto,14481,Petrol,38.7,25499
Audi,A4,2019,2,Manual,8045,Petrol,38.7,25000
